name,year,battle_number,attacker_king,defender_king,attacker_1,defender_1,attacker_outcome,battle_type,major_death,major_capture,attacker_size,defender_size,attacker_commander,defender_commander,summer,location,region,attacker_count,defender_count,attacker_commander_count,defender_commander_count
Battle of the Golden Tooth,298,1,Joffrey/Tommen Baratheon,Robb Stark,Lannister,Tully,win,pitched battle,1.0,0.0,15000.0,4000.0,Jaime Lannister,"Clement Piper, Vance",1.0,Golden Tooth,The Westerlands,1,1,1,2
Battle at the Mummer's Ford,298,2,Joffrey/Tommen Baratheon,Robb Stark,Lannister,Baratheon,win,ambush,1.0,0.0,,120.0,Gregor Clegane,Beric Dondarrion,1.0,Mummer's Ford,The Riverlands,1,1,1,1
Battle of Riverrun,298,3,Joffrey/Tommen Baratheon,Robb Stark,Lannister,Tully,win,pitched battle,0.0,1.0,15000.0,10000.0,"Jaime Lannister, Andros Brax","Edmure Tully, Tytos Blackwood",1.0,Riverrun,The Riverlands,1,1,2,2
Battle of the Green Fork,298,4,Robb Stark,Joffrey/Tommen Baratheon,Stark,Lannister,loss,pitched battle,1.0,1.0,18000.0,20000.0,"Roose Bolton, Wylis Manderly, Medger Cerwyn, Harrion Karstark, Halys Hornwood","Tywin Lannister, Gregor Clegane, Kevan Lannister, Addam Marbrand",1.0,Green Fork,The Riverlands,1,1,5,4
Battle of the Whispering Wood,298,5,Robb Stark,Joffrey/Tommen Baratheon,Stark,Lannister,win,ambush,1.0,1.0,1875.0,6000.0,"Robb Stark, Brynden Tully",Jaime Lannister,1.0,Whispering Wood,The Riverlands,2,1,2,1
Battle of the Camps,298,6,Robb Stark,Joffrey/Tommen Baratheon,Stark,Lannister,win,ambush,0.0,0.0,6000.0,12625.0,"Robb Stark, Tytos Blackwood, Brynden Tully","Lord Andros Brax, Forley Prester",1.0,Riverrun,The Riverlands,2,1,3,2
Sack of Darry,298,7,Joffrey/Tommen Baratheon,Robb Stark,Lannister,Darry,win,pitched battle,0.0,0.0,,,Gregor Clegane,Lyman Darry,1.0,Darry,The Riverlands,1,1,1,1
Battle of Moat Cailin,299,8,Balon/Euron Greyjoy,Robb Stark,Greyjoy,Stark,win,pitched battle,0.0,0.0,,,Victarion Greyjoy,,1.0,Moat Cailin,The North,1,1,1,1
Battle of Deepwood Motte,299,9,Balon/Euron Greyjoy,Robb Stark,Greyjoy,Stark,win,siege,0.0,0.0,1000.0,,Asha Greyjoy,,1.0,Deepwood Motte,The North,1,1,1,1
Battle of the Stony Shore,299,10,Balon/Euron Greyjoy,Robb Stark,Greyjoy,Stark,win,ambush,0.0,0.0,264.0,,Theon Greyjoy,,1.0,Stony Shore,The North,1,1,1,1
Battle of Torrhen's Square,299,11,Robb Stark,Balon/Euron Greyjoy,Stark,Greyjoy,win,pitched battle,0.0,0.0,244.0,900.0,"Rodrik Cassel, Cley Cerwyn",Dagmer Cleftjaw,1.0,Torrhen's Square,The North,1,1,2,1
Battle of Winterfell,299,12,Balon/Euron Greyjoy,Robb Stark,Greyjoy,Stark,win,ambush,0.0,1.0,20.0,,Theon Greyjoy,Bran Stark,1.0,Winterfell,The North,1,1,1,1
Sack of Torrhen's Square,299,13,Balon/Euron Greyjoy,Balon/Euron Greyjoy,Greyjoy,Stark,win,siege,0.0,1.0,,,Dagmer Cleftjaw,,1.0,Torrhen's Square,The North,1,1,1,1
Sack of Winterfell,299,14,Joffrey/Tommen Baratheon,Robb Stark,Bolton,Stark,win,ambush,1.0,0.0,618.0,2000.0,"Ramsay Snow, Theon Greyjoy ","Rodrik Cassel, Cley Cerwyn, Leobald Tallhart",1.0,Winterfell,The North,2,1,2,3
Battle of Oxcross,299,15,Robb Stark,Joffrey/Tommen Baratheon,Stark,Lannister,win,ambush,1.0,1.0,6000.0,10000.0,"Robb Stark, Brynden Tully","Stafford Lannister, Roland Crakehall, Antario Jast",1.0,Oxcross,The Westerlands,2,1,2,3
Siege of Storm's End,299,16,Stannis Baratheon,Renly Baratheon,Baratheon,Baratheon,win,siege,1.0,0.0,5000.0,20000.0,"Stannis Baratheon, Davos Seaworth","Renly Baratheon, Cortnay Penrose, Loras Tyrell, Randyll Tarly, Mathis Rowan",1.0,Storm's End,The Stormlands,1,1,2,5
Battle of the Fords,299,17,Joffrey/Tommen Baratheon,Robb Stark,Lannister,Tully,loss,pitched battle,0.0,0.0,20000.0,10000.0,"Tywin Lannister, Flement Brax, Gregor Clegane, Addam Marbrand, Lyle Crakehall, Leo Lefford","Edmure Tully, Jason Mallister, Karyl Vance",1.0,Red Fork,The Riverlands,1,1,6,3
Sack of Harrenhal,299,18,Robb Stark,Joffrey/Tommen Baratheon,Stark,Lannister,win,ambush,1.0,0.0,100.0,100.0,"Roose Bolton, Vargo Hoat, Robett Glover",Amory Lorch,1.0,Harrenhal,The Riverlands,1,1,3,1
Battle of the Crag,299,19,Robb Stark,Joffrey/Tommen Baratheon,Stark,Lannister,win,ambush,0.0,0.0,6000.0,,"Robb Stark, Smalljon Umber, Black Walder Frey",Rolph Spicer,1.0,Crag,The Westerlands,1,1,3,1
Battle of the Blackwater,299,20,Stannis Baratheon,Joffrey/Tommen Baratheon,Baratheon,Lannister,loss,pitched battle,1.0,1.0,21000.0,7250.0,"Stannis Baratheon, Imry Florent, Guyard Morrigen, Rolland Storm, Salladhor Saan, Davos Seaworth","Tyrion Lannister, Jacelyn Bywater, Sandor Clegane, Tywin Lannister, Garlan Tyrell, Mace Tyrell, Randyll Tarly",1.0,King's Landing,The Crownlands,1,1,6,7
Siege of Darry,299,21,Robb Stark,Joffrey/Tommen Baratheon,Darry,Lannister,win,siege,0.0,0.0,,,Helman Tallhart,,1.0,Darry,The Riverlands,1,1,1,1
Battle of Duskendale,299,22,Robb Stark,Joffrey/Tommen Baratheon,Stark,Lannister,loss,pitched battle,1.0,0.0,3000.0,,"Robertt Glover, Helman Tallhart","Randyll Tarly, Gregor Clegane",1.0,Duskendale,The Crownlands,1,1,2,2
Battle of the Burning Septry,299,23,,,Brotherhood without Banners,Brave Companions,win,pitched battle,0.0,0.0,,,,,1.0,,The Riverlands,1,1,1,1
Battle of the Ruby Ford,299,24,Joffrey/Tommen Baratheon,Robb Stark,Lannister,Stark,win,pitched battle,0.0,0.0,,6000.0,Gregor Clegane,"Roose Bolton, Wylis Manderly",,Ruby Ford,The Riverlands,1,1,1,2
Retaking of Harrenhal,299,25,Joffrey/Tommen Baratheon,,Lannister,Brave Companions,win,pitched battle,1.0,0.0,,,Gregor Clegane,Vargo Hoat,1.0,Harrenhal,The Riverlands,1,1,1,1
The Red Wedding,299,26,Joffrey/Tommen Baratheon,Robb Stark,Frey,Stark,win,ambush,1.0,1.0,3500.0,3500.0,"Walder Frey, Roose Bolton, Walder Rivers",Robb Stark,1.0,The Twins,The Riverlands,2,1,3,1
Siege of Seagard,299,27,Robb Stark,Joffrey/Tommen Baratheon,Frey,Mallister,win,siege,0.0,1.0,,,Walder Frey,Jason Mallister,1.0,Seagard,The Riverlands,1,1,1,1
Battle of Castle Black,300,28,Mance Rayder,Stannis Baratheon,Free folk,Night's Watch,loss,siege,1.0,1.0,100000.0,1240.0,"Mance Rayder, Tormund Giantsbane, Harma Dogshead, Magnar Styr, Varamyr","Stannis Baratheon, Jon Snow, Donal Noye, Cotter Pyke",0.0,Castle Black,Beyond the Wall,3,2,5,4
Fall of Moat Cailin,300,29,Joffrey/Tommen Baratheon,Balon/Euron Greyjoy,Bolton,Greyjoy,win,siege,0.0,0.0,,,Ramsey Bolton,,0.0,Moat Cailin,The North,1,1,1,1
Sack of Saltpans,300,30,,,Brave Companions,,win,razing,0.0,0.0,,,Rorge,,0.0,Saltpans,The Riverlands,1,0,1,1
Retaking of Deepwood Motte,300,31,Stannis Baratheon,Balon/Euron Greyjoy,Baratheon,Greyjoy,win,pitched battle,0.0,0.0,4500.0,200.0,"Stannis Baratheon, Alysane Mormot",Asha Greyjoy,0.0,Deepwood Motte,The North,4,1,2,1
Battle of the Shield Islands,300,32,Balon/Euron Greyjoy,Joffrey/Tommen Baratheon,Greyjoy,Tyrell,win,pitched battle,0.0,0.0,,,"Euron Greyjoy, Victarion Greyjoy",,0.0,Shield Islands,The Reach,1,1,2,1
"Invasion of Ryamsport, Vinetown, and Starfish Harbor",300,33,Balon/Euron Greyjoy,Joffrey/Tommen Baratheon,Greyjoy,Tyrell,win,razing,0.0,0.0,,,"Euron Greyjoy, Victarion Greyjoy",,0.0,"Ryamsport, Vinetown, Starfish Harbor",The Reach,1,1,2,1
Second Seige of Storm's End,300,34,Joffrey/Tommen Baratheon,Stannis Baratheon,Baratheon,Baratheon,win,siege,0.0,0.0,,200.0,"Mace Tyrell, Mathis Rowan",Gilbert Farring,0.0,Storm's End,The Stormlands,1,1,2,1
Siege of Dragonstone,300,35,Joffrey/Tommen Baratheon,Stannis Baratheon,Baratheon,Baratheon,win,siege,0.0,0.0,2000.0,,"Loras Tyrell, Raxter Redwyne",Rolland Storm,0.0,Dragonstone,The Stormlands,1,1,2,1
Siege of Riverrun,300,36,Joffrey/Tommen Baratheon,Robb Stark,Lannister,Tully,win,siege,0.0,0.0,3000.0,,"Daven Lannister, Ryman Fey, Jaime Lannister",Brynden Tully,0.0,Riverrun,The Riverlands,2,1,3,1
Siege of Raventree,300,37,Joffrey/Tommen Baratheon,Robb Stark,Bracken,Blackwood,win,siege,0.0,1.0,1500.0,,"Jonos Bracken, Jaime Lannister",Tytos Blackwood,0.0,Raventree,The Riverlands,2,1,2,1
Siege of Winterfell,300,38,Stannis Baratheon,Joffrey/Tommen Baratheon,Baratheon,Bolton,win,siege,,,5000.0,8000.0,Stannis Baratheon,Roose Bolton,0.0,Winterfell,The North,4,2,1,1
